,conversation
26320,"That was so cool man, the way you leaned on that guy."
26321,It is starting to get dark out there.
26322,He told you everything! I mean you totally cracked him!
26323,"Yeah well, being that he was the victim, they're usually pretty talkative."
26324,Okay.  But it is officially nighttime.
26325,"Oh hey, Gary, want me to grab the berry for ya?"
26326,It's called the cherry.
26327,It's theChandler!!
26328,"Okay, I got it! This place makes the best sandwich in the world!"
26329,Hey Joe does it have meatballs on it?
26330,"Oh-ho, yeah!"
26331,Does it have melted cheese and marinara sauce?
26332,Yep!
26333,"Yeah, you can't eat that in my car."
26334,Yeah okay.  Even though my tax dollars paid for this car.
26335,Your tax dollars?
26336,"Yeah, okay."
26337,Wow! That sandwich really does smell good.
26338,Did I say you could smell it?!
26339,I can't smell your sandwich?
26340,Half the taste is in the smell! You-you're sucking up all the tastiness!
26341,"Okay, I'll give them back.  Look! What is so great about that sandwich?"
26342,"Okay, imagine the best sex you've ever had."
26343,Okay.
26344,Are you thinking about Monica?
26345,Yeah.
26346,"Yeah, what's that like?"
26347,"Ross's apartment, Rachel is just entering. She takes off her coat and heads for the kitchen. As she does, she knocks something off of a bookcase next to the kitchen door with her coat and it breaks.]"
26348,"Ohh please don't be from a real dinosaur! Please! Please! Please! Please! Please! Please! Please! Please!  Made in Mexico! Yes!! Ugh, who would buy this?!"
26349,Rach! It's me! Pick up!
26350,Hey! What's up?!
26351,"I need a few more things to make the margaritas. Uhh, I need some salt, some margarita mix, and tequila."
26352,So all we have is ice?
26353,See if he has ice.
26354,Okay.
26355,"Hello Ross? It's Emily.  I know this is out of the blue but uh, I'm getting married tomorrow. Well, maybe I am. I keep thinking about you and I'm wondering if-if we made a mistake giving up so fast. Are you thinking about me? Of course you're not, but if you are, call me tonight. Okay, bye."
26356,Oh. Oh!
26357,The ride along.]
26358,So where are we going next?
26359,This witness won't return my calls so we're gonna see if we can surprise him coming home.
26360,"Sur-surprise him? We're not, we're not gonna make anybody mad are we?"
26361,"Come on man!  Listen so uh, are you gonna squeeze the perps shoes a little bit before he lawyers up?"
26362,It's a witness not a perp. And no one talks like that!
26363,"Yeah, no one talks like that!"
26364,Oh what? Like your Mr. Cop!
26365,"Hey, I'm more cop than you two!"
26366,How do you figure that?
26367,"Hello! I'm in the front seat, okay? I'm Gary's partner!"
26368,"Y'know, when you say partner it doesn't sound cop. It, it sounds gay."
26369,"Umm, jealous!"
26370,"Hey, do you mind? We're under cover here."
26371,"Yeah, no problem."
26372,Ross!
26373,"Sorry! Sorry! Oh,  there!  Hey Gary, who am I? Phone home!"
26374,Look at Officer Ross riding back here with the visitors.
26375,"Yeah, what's up with that Serpico?"
26376,"Ross's apartment, Rachel is playing Emily's message to Monica.]"
26377,"Are you thinking about me? Of course you're not, but if you are, call me tonight. Okay, bye."
26378,Nooo!
26379,I know!
26380,"Well thank God you were here! I mean, we have to erase that!"
26381,What?! We can't do that!
26382,"We have too! I mean what if Ross's hears that and then calls her back and then they get back together? Is that what you want? Ross back with that controlling, neurotic, crazy Emily? The Emily that wouldn't let him see you?"
26383,Noo! Oh no! No! God no! He should not get back together with her. I know that! You know that! Even Ross knows that! But that still doesnt give us the right to erase his message!
26384,"I'm his sister, okay? I love him! I don't want to see him get hurt! Come on! Doesnt that give me the right to control himhelp him?"
26385,I don't think he's the one who needs help.
26386,"No, look, she's obviously unstable, okay? I mean she's thinking about running out on her wedding day.   Okay, fine! But I mean, look at the position she's putting him in! What's he gonna do? Ross is gonna run over there on the wedding day and break up the marriage?! I mean, who would do that?!  Okay, fine, all right, but that's y'know, it's different! Although it did involve a lot of the same people."
26387,Ugh!
26388,"Y'know what, this is obviously some kind of twisted joke she's trying to play on him."
26389,"Okay, you are crazy! I'm sorry, but she sounded generally upset! I mean, listen!"
26390,Your messages have been erased.
26391,Noooooooo!
26392,"The ride along, they're all waiting outside of the witness's house and still in the car in the same places as before.]"
26393,"Okay, y'know, we-we're safe right? I mean nothing bad can go down!"
26394,"No. But that reminds me,  sign this."
26395,What is it?
26396,"Oh it's nothing, it just says that you can't sue the city if you scrap your knee or y'know, get your head blown off."
26397,"Oh, hurry up. I want to sign that."
26398,"Okay, here he comes. What is he doing? What the hell is he doing?!"
26399,What? What? What? What is it?
26400,Is everything okay?
26401,What's going on?
26402,"Okay, he sees us. Now don't move. Don't look at him."
26403,"Hey, it's okay. It was just a car backfire.  Hey, look at that! You tried to save your buddy. You see that? You see what he did?"
26404,You okay man?
26405,Uh-huh. Thank Joey!
26406,"Uh, HELLO!!"
26407,Hi.
26408,"Ross's apartment, Monica has all the supplies she needs and is getting ready to leave.]"
26409,"All right, I guess we should go."
26410,"No, wait. Wait."
26411,Oh yeah right!
26412,"No, Monica! Monica! We have to fix this!"
26413,There's nothing we can do. You erased the message!
26414,Yeah well unless we tell him.
26415,"Well, if you're gonna be totally rational about this, I can't argue with you! All right? Fine, if you wanna tell him, tell him. I just don't want to be a part of it."
26416,"Oh, maybe that's Emily calling back to leave the exact same message."
26417,"Hey Ross! It's you! I just want you to remember this feeling. You are lucky to be alive! So live everyday to the fullest. Love yourself, okay? Okay. Oh, and also get stamps. Bye!"
26418,Wow! Play that message for Emily and this whole problem goes away!
26419,Right?
26420,"Central Perk, the guys are returning from the ride along to find Phoebe already there.]"
26421,"Hey, anybody want to meet a hero?"
26422,John Glenn is here?!
26423,"No, Joey!"
26424,"Pheebs, we had the most incredible night! Okay, so, we're in the car"
26425,Wait! Hold on!   Hi!
26426,Hi!
26427,"Okay, go ahead."
26428,"Okay, okay, so we're in the car. Right? And bang! A shot was fired. And Joey with no regard for his own safety throws himself on me!"
26429,"My God, Joey!"
26430,It was a car backfire!
26431,"Yeah, but-but he didn't know that!"
26432,"Yeah, I didn't know that."
26433,And it could've just as easily have been a bullet.
26434,"Hey Joe, you ever think about joining the force? We could use a guy like you."
26435,Who jumps at loud noises!
26436,Wow! I could've died tonight.
26437,"Yeah! If the car that backfired had run over you! Y'know what, I think I'll go home before Ross starts rambling about his newfound respect for life."
26438,I do have a newfound respect for life.
26439,Oh my God!
26440,So you wanna get some dinner?
26441,"Yeah! Sure! Yep!  Oh, y'know what? If I heard a shot right now, I'd throw my body on you."
26442,Oh yeah? Well maybe you and I should take a walk through a bad neighborhood.
26443,Okay!
26444,All right.
26445,Bye!
26446,Bye!
26447,Cut it out Ross! I hate to have to save your life and kick your ass in the same day!
26448,"Chandler and Joey's, Chandler is pacing as Joey enters.]"
26449,Dude! How come you took off?
26450,"Oh, I just went for a walk, around the living room. Whatever"
26451,Is something wrong?
26452,"No. No I'm just tired. Y'know, from-from the walk."
26453,Okay.
26454,You dove in front of Ross! Ross!
26455,"That's what this is about! Oh my God, you hate Ross!"
26456,I do not hate Ross!
26457,Of course you do! I saved him! You're mad at me! It all adds up! You want Ross out of the picture.
26458,What picture?
26459,"I don't know, but I don't like what I'm hearing!"
26460,"Look I'm very glad that you saved Ross from the car backfire, but y'know, it could've been a bullet and you y'know, you didn't try to save me!"
26461,"Ohh, you're upset because you think I chose Ross over you! No! Iknewyou could take care of yourself. Y'know, I mean Ross, he need help. He's not street like us!"
26462,"When it comes down to it, you would risk your life for Ross before you would for me. That's the bottom line."
26463,"Well, no, not exactly! All right, look, I, I wasn't trying to save Ross. Okay? My sandwich was next to Ross. All right? I was, I was trying to save my sandwich."
26464,From a bullet!
26465,I know it doesn't make much sense
26466,Much sense?!
26467,"Look Chandler, it was instinct! Okay? I just went for it!"
26468,"So you risked your life, for a sandwich!"
26469,"I know it sounds crazy, but Chandler this is  the greatest sandwich in the world!"
26470,"So you didn't uh, choose Ross before me."
26471,No! I would never do that! You-you're like my brother!
26472,Really?!
26473,"Yeah! In fact, to prove how much you mean to me,  here."
26474,Thanks.
26475,"No, eh, oh-oi, easy, it's not a hot dog!"
26476,How good is that?
26477,"Oh-oi-ho, yeah!"
26478,See?
26479,Hm-hmm.
26480,"Oh-whoa-hey, dude, what are you doing?!"
26481,I thought you were showing me how much you mean to me.
26482,Yeah. With a bite!  Gee-e-e-eez!
26483,"Ross's apartment, Rachel is trying to repair the thing she broke earlier, but gets interrupted by hearing Ross at the door. She panics and throws the thing into the kitchen. And runs to the couch as Ross enters.]"
26484,Hey! Hi!
26485,"Rach, what uh, what are you doing here?"
26486,"Hey! Y'know what? You are in our apartment all the time! Okay? This is, this is just a drop in the bucket mister!"
26487,"Y'know, it-it doesn't matter. The important thing is that you're here. You're my friend, and you're here. Oh!"
26488,"Okay, just a little scared. What's going on Ross?"
26489,The most amazing thing happened tonight. I thought my number was up. I had an actual near death experience!
26490,What?! What? What happened?!
26491,"Okay, okay, we were on the ride along with Gary, right?"
26492,Yeah!
26493,And somebody took a shot at me!
26494,Really?!
26495,"No, a car backfired, but  I thought somebody was taking a shot at me. And Rach, II survived! And I was filled with this-this great respect for life. Y'know? I-I want to experience every moment. I want to seize every opportunity. I-I am seeing everything so-so clearly now."
26496,Because a car backfired?
26497,"Okay, why are you here?"
26498,"Well, I-I-I don't know how this fits into your whole ""seizing"" thing but um, Emily called you today."
26499,You talked to her?
26500,"No, she left a message.   But it-it kinda got erased. There's just  something wrong with your machine."
26501,"Well, okay, what-what did she say?"
26502,"Well, uh something about having second thoughts about the wedding and did you guys make a mistake breaking up and uh, she wants you to call her."
26503,Wow!
26504,"Now, that-that was a good thing that I told you, right?"
26505,"Huh? Yeah! Yes, of course!"
26506,"Okay. Thank you! Thank you! BecauseI'm sorry, all right. Because y'know what? She didn't want menot important. The point is, I was right. Your decision. Okay? I was right.   Your decision."
26507,"Right. I guess, I guess I should call Emily."
26508,"Okay, no, that's not the right decision. That's not, that's not right, no Ross-Ross, come on! I mean, that woman made you miserable! Okay, Ross, do you really want to get back into that?"
26509,"Okay, look, yesterday I would've even considered calling her back, but my ex-wife calls on the same day I have a near death experience. I mean, that-that has got to mean something!"
26510,"Ugh, Ross! That was not a near death experience! That was barely an experience!"
26511,"You weren't there! Okay, maybe this is something that I-I'm supposed to seize! Y'know?"
26512,"Okay, y'know what? Maybe, this is not about seizing stuff. Maybe this is about escaping stuff."
26513,Huh.
26514,"I mean, look-look today you escaped   death, y'know? And maybe this is a chance for you to escape getting back together with Emily?"
26515,"That does make sense. Because I do wanna seize some opportunity, but I-I really don't wanna see or talk to her."
26516,"Well, there you go!"
26517,"Yeah. Maybe today is just, close call day."
26518,Close call day.
26519,"Hey, thanks Rach."
26520,"Ohh, honey no problem. Okay."
26521,Oh wait-wait-wait! The message is blinking. Maybe you didn't erase it.
26522,Oh?
26523,"""Hey Ross, it's you!""  Oh yeah, no that's-that's an old message, nobody needs to hear that."
26524,No.
26525,"Hey umm, was-was Monica here?"
26526,Yeah.
26527,"Yeah, I want my money back."
26528,"Yeah, uh you-you probably need that for stamps, right?"
26529,"Central Perk, everyone is there.]"
26530,"Hey Pheebs, has Gary ever been shot at for real?"
26531,"Yes. Once. Yeah, a little. He kinda did it to himself. It's not really a good story."
26532,"I wonder how I would react under fire, y'know? And not backfire but-but heavy fire, like I was in a war or something."
26533,"Man, I would be great in a war! I mean, I really, I think I would make a fantastic military leader. I mean I know I would make General way before any of you guys."
26534,Before or after you were shot by your own troops?
26535,I know where Joey would be. He would be down in the foxhole protecting all of us.
26536,"Yes, if the foxhole was lined with sandwiches."
26537,"Yeah, hero sandwiches."
26538,"Well you all know that I'm a pacifist so I'm not interested in war in any way.  But y'know what? When the revolution comes, I will have to destroy you all.   Not you Joey."
26539,Greg Malins Story by: Scott Silveri Transcribed by: Eric Aasen
26540,"Central Perk, Gary, Phoebe, Monica, and Chandler are there.]"
26541,"Would you like some more coffee, baby-doll?"
26542,"I'm fine, thanks."
26543,"Yeah, see, I can't pull of baby-doll can I?"
26544,No. I think we learned that from the sugarlips incident. I'm gonna get some tea.
26545,Okay.
26546,Hiya doin' pumpkin?
26547,Nope.
26548,"So it looks like it's going really well for you two, huh?"
26549,"I know, really well. In fact, I'm gonna ask Phoebe to move in with me."
26550,Oh my God!
26551,"What do you, what do you think?"
26552,I think that is so great! When are you gonna ask her?
26553,"Tonight, but don't say anything. Okay?"
26554,"I swear, I promise. I promise. Oh my God, I'm so excited! {And I just can't hide it! I'm about to lose control and I think I like it! Sorry, just couldn't resist it.} All right, listen let me tell you, do not get her flowers. Okay? Because y'know, she cries when they die, and there's the whole funeral"
26555,I'll see you after work sweetie.
26556,Okay. Bye!
26557,"So, what movie should we see?"
26558,Gary's gonna ask you to move in with him!!
26559,What?! Really?!
26560,"He just told me at the counter. He made me promise not to tell, but I couldn't hold it in any longer!"
26561,I can't believe this!
26562,"Right, because it's fast. Because, it's so fast. It's fast!"
26563,Relax! It's Phoebe! Not you!
26564,"Oh! Good for you Pheebs, way to go!"
26565,"No, but it is fast. Isn't it?"
26566,Ohhhh!
26567,"No, I like him a lot but I don't think I'm ready for this!"
26568,"So, what are you gonna do?"
26569,I don't know. I'll just handle itI'll ask you to talk to him!
26570,Me?! Why me?
26571,"Because you are so afraid of commitment! You talk to him, make him scared like you! Make him aman!"
26572,"I'll try, but I'm not sure what good it would do, y'know? Because I'm a lot less afraid of commitment than I used to be."
26573,That is so sweet!
26574,"Still terrified, I'll take care of it. No problem."
26575,"Monica and Rachel's, Joey and Ross are playing catch with a little foam globe.]"
26576,"Hey Ross, is uh, is Staten Island really an island?"
26577,"Uh-huh, that's why they call it Staten Island."
26578,Ohhh. I thought it was like Long Island.
26579,Also an island.
26580,"Hey, what time is it?"
26581,2:17.
26582,"Wow! You realize that we've been throwing this ball, without dropping it, for like an hour?"
26583,Are you serious?!
26584,Yeah. I realized it about a half-hour ago but I didn't want to say anything 'cause I didn't want to jinx it.
26585,Wow! We are pretty good at this! Hey! We totally forgot about lunch!
26586,"Oh, I-I, I think that's the first time I ever missed a meal!  Yeah, my pants are a little loose!"
26587,"Hey, you guys"
26588,Hey!
26589,Is Monica here?
26590,No.
26591,"All right listen umm, I just bought something I'm not sure she's gonna like it, and it's gonna seem a little crazy, but this is something that I wanted since I was a little girl."
26592,You bought Shawn Cassidy!
26593,"Noo! I wish! Okay, you ready?"
26594,Yeah!
26595,Okay!  Check it out!
26596,What-what is it?!
26597,What the hell is that?!!
26598,"It's a, it's a cat!"
26599,"That, is not a cat! {I have to agree with Joey on this one.}"
26600,Yes it is!
26601,Why is it inside out?!
26602,"Excuse me! But this is a purebred, show-quality Sphinx cat!"
26603,How much did you pay for that?
26604,"Well, it was a little extravagant, but I a pretty good deal."
26605,Yeah? How much?
26606,A thousand bucks.
26607,ON A CAT??!!!!
26608,It's not a cat!
26609,"All right listen ball boys! My grandmother had one of these when I was a little girl and it was the sweetest thing! I mean it was so cute, it would sit in my lap and purr all day long, and I would drag a shoestring on the ground and he would chase it!"
26610,"Free cats do that too, y'know. {Which reminds me, if I might get a little political here, support your local animal shelter. Pet shops are not the place to buy dogs and cats from, you get a much better deal from the shelter, plus they probably won't die on you in a week and a half. If you want a leash, go to the pet shop. If you want the dog for that leash, go to the shelter and save it's life. Now back to regularly scheduled programming.}"
26611,It's not a cat!
26612,"Ugh! Look you guys, I'm really excited about this! Okay? I don't care what you think! I'm gonna go set up a little litter box for Mrs. Whiskerson.  Well, what am I gonna call her? Fluffy?!"
26613,"Hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? Huh?"
26614,"Uhh, the ball thing."
26615,Yeah?
26616,"Hey Ross, wouldn't it be great if we could go two straight hours without dropping it?!"
26617,"Uhh, yeah it would! Let's do it!"
26618,Okay!
26619,Uh-oh.
26620,What?
26621,I have to pee. And Rachel's in the bathroom!
26622,"Man, I didn't think we were gonna make it!"
26623,"I know!  Don't switch hands, okay?"
26624,"the 5th Precinct, Gary's precinct, Chandler has come to talk to him about commitment. And as he's walking through the door he notices a couple of ""Ladies of the night"" sitting there. ]"
26625,Hey ladies! What are you in here for?
26626,"Hey Chandler, what are you doing here?"
26627,"Gary, I'm here to report a crime."
26628,Yeah?
26629,It is a crime that you and I don't spend more time together.
26630,What's up?
26631,"Well, I heard that you thinking about asking Phoebe to move in with you and I thought maybe, we should have a talk. Man to uh, me."
26632,Sure. Okay.
26633,"Uh, are you crazy? Are you insane? If you live with Phoebe, you two are gonna be y'know, live-living together!"
26634,"Yeah, I-I considered that. I just know it would make me happy."
26635,You mean scared.
26636,"No, I mean happy."
26637,Scared? Happy?
26638,"Chandler, what-what are you doing?"
26639,"I am trying to open your eyes, my man! Don't you see, if you lived with Phoebe she's always gonna be there. You're gonna get home, she's there. You go to bed, she's there. You wake up and oh yes, she's there!"
26640,I know! I can't wait!
26641,"Were you're parents happy, or something?"
26642,"Listen Chandler, the way I see it is that I was lucky enough to find someone that I really love. I justI wanna be around her as much as I can."
26643,"Wow, y'know when you say it, it doesn't sound so scary."
26644,"So you know what I'm talking about, right?"
26645,"Yeah, I think I do! Y'know what? You move in with her! You move in with her right now! Maybe I should in with Monica!"
26646,"No, it's too soon for you guys."
26647,"Yeah, you're right about that."
26648,"Chandler and Joey's, Ross and Joey are still playing catch.]"
26649,now when they found the remains of the Mesozoic Mastodon they discovered what appeared to be the remains of a Paleozoic Amphibian in its jaws! How did it get there?!
26650,Maybe this should be more of a quiet game.
26651,Hey guys!
26652,Hi!
26653,"Joey, I left my watch on the counter last night.  It was right here, where is it?"
26654,I don't know.
26655,"All right, come on, I'm-I'm late for work!"
26656,How do you know? You don't have a watch.
26657,"Guys, could you please just stop throwing the ball for one minute and just help me find it!"
26658,"Oh, I don't know. Yeah, can't do it."
26659,What?!
26660,"Monica, whatever you do, do not drop that ball!"
26661,"Yeah, we haven't dropped it in"
26662,"2 hours, 27 minutes."
26663,Really?!
26664,"I-I'm not gonna be able to make it into work today, I don't feel very good.   Yes!!   Wow! Uh, for a second there I thought I was really better, but I'm not."
26665,Hey Rach!
26666,Hey.
26667,Check it out! Almost 3 hours without droppin' it!
26668,"Oh, wow! Congratulations, that's quite a waste of time."
26669,Rach?
26670,Yeah?
26671,"You have scratches all over you, what happened?"
26672,"Well, it's my cat."
26673,What?!
26674,"Oh yeah, I got a cat."
26675,I don't want a cat!
26676,"Oh, don't worry, it's not a cat."
26677,Yeah.
26678,"You guys this cat is nothing like my grandmother's cat. I mean, it's not sweet, it's not cute, I even dragged that little string on the ground, and it just flipped out and scratched the hell out of me. And I swear, I know this sounds crazy, but every time this cat hisses at me I know it's saying, ""Rachel!"""
26679,Doesn't sound as crazy as paying a thousand dollars for a cat.
26680,What?! You paid a thousand dollars for a cat when you owe me 300!!
26681,"Well, I was gonna let you play with it."
26682,"Central Perk, Phoebe is drinking coffee as Chandler enters.]"
26683,Hi!
26684,"Hmm, did you talk to Gary about the moving in thing?"
26685,"Yes I did, and I think you should do it."
26686,What?!
26687,"He's a great guy, y'know? And he loves you a lot, you are a very lucky lady."
26688,You are useless! Freaking out about commitment is the one thing you can do! The one thing! And you can't even do that right! God!
26689,"Im sorry.  If you ask me, I'd move in with him."
26690,"Ohh!! God!  Ooh!  Get out of here, good for nothing."
26691,Hey Chandler.
26692,Hey Gar!
26693,"Hi sweetie.  Hi, can I talk to you for a second?"
26694,Yeah! Okay.
26695,You look very pretty today.
26696,Thanks! Okay.
26697,Here's the thing.
26698,Yeah?
26699,Y'know I really want to move this relationship forward.
26700,Uh-hmm.
26701,"Because if you're not moving forward, y'know you're just moving backwards."
26702,"No that's not true. If you're not moving forward, you're just staying still. And staying still is good. Watch this."
26703,Phoebe?
26704,Yeah?
26705,I want you to move in with me.
26706,That is so sweet. But don't you think it's a little too soon? I mean there's so much we don't know about each other.
26707,"Oh. Oh-oh-okay, I get it."
26708,I justI don't want us to jump into something we're not ready for.
26709,Uh-huh.
26710,I really don't want to mess up what we have. I'm justI'm worried it's gonna be a big mistake.
26711,Yeah.
26712,Which is why my answer is yes!
26713,Really?!
26714,Uh-huh!  I'm sohappy.
26715,"Chandler and Joey's, Joey, Ross, and Monica are still playing catch, with Chandler looking on. Joey throws the ball to Monica who catches it and whips it at Ross.]"
26716,Monica! Stop throwing it so hard! We're on the same team!
26717,Four hours? You guys have been doing this for four hours?
26718,That's right baby.
26719,"All right, let me in."
26720,No-no! Don't do it! Don't!
26721,What?
26722,He's a dropper!
26723,"Oh yeah, that's right!"
26724,I'm not a dropper!
26725,"It's really a uh-uh three person game, y'know?"
26726,It's throwing and catching!
26727,All right.
26728,Oh! Oh! That's so hard.
26729,"Whoa-whoa you guys, it's not a cat!"
26730,Oh myOh good God!
26731,"I give up you guys, I don't know what I'm going to do with this thing!"
26732,"Baking it didn't help, huh?"
26733,"So, why don't you just take it back to where you got it?"
26734,I tried! They won't take her back.
26735,Maybe that's because she's a minion of the anti-Christ.
26736,"Rach, why won't they take it back?"
26737,"Well, they said would but they would only give me store credit. I mean, what am I going to do, get a thousand regular cats?"
26738,"Look, if you want you can keep it at our place until you find out what to do with it."
26739,"No Mon that's not the point. I'm out a thousand dollars, I'm all scratched up, and I'm stuck with this stupid cat that looks like a hand!"
26740,"Oh my God, the cat's made my eyes water! Don't-don't throw it to me! My vision's been compromised!!  Oh God! Okay. Okay. It's okay. Man, that was close."
26741,"Yeah, you almost overreacted to something."
26742,Hey!
26743,Hey!
26744,We have great news!
26745,We're moving in together! Isn't it great! Yay!
26746,Congratulations! Congrats!
26747,"I know, I'm so excited!"
26748,So am I!
26749,"Well, you're not more excited than I am! No way! I'm the most excited!"
26750,"Okay, I'll see you at the station later."
26751,"Okay, yeah, I'll see you later! Don't forget about the moving in!"
26752,All right.
26753,So you're moving in with him. What happened?
26754,"I couldn't tell him no. He got so sad. Maybe it'll be all right. I do really like him a lot and probably do it eventually anyway and plus, think of all the money I'll save on stamps."
26755,"Why, do you write him a lot?"
26756,"No, I just heard when people live together, they split the cost of stamps. Don't they?"
26757,Yeah! That's right. Yeah-yeah! Yeah!
26758,"Oh, I'm sorry, the oven mitts really freaked me out."
26759,"Gary's precinct, Phoebe is entering.]"
26760,"Hey, honey! Okay, so did you find any apartments? Anything in Brooklyn Heights?"
26761,"No, nothing."
26762,Oh really?
26763,Yeah.
26764,Nothing at all?
26765,"No, as soon as something opens up we'll move right in. Unless it doesn't have a pool, I need a pool."
26766,"Phoebe, can I talk to you for a second?"
26767,Uh-huh!
26768,Take a seat. You okay? You feeling all right?
26769,"Yeah, I feel great. 'Cause we're moving in together."
26770,"So you uh, you checked the paper for listings in Brooklyn Heights, right? You-you checked the Post?"
26771,"Yeah, uh-huh, there was nothing.  Can I get some water?"
26772,In a minute. You-you checked today's Post?
26773,"Umm, yeah! Today's."
26774,"'Cause uh, this is today's Post  and uh, these are the listings I found.  Brooklyn Heights, two bedroom.  Brooklyn Heights, one bedroom.  Brooklyn Heights,  Brooklyn Heights,  Brooklyn Heights!"
26775,Are these for rent! I thought people were just bragging!
26776,"Let me tell you what I think might be going on.  No-no-no, don't look at the table. Look at me.  Okay, I think somebody asked someone to move in with them. And I think someone said, ""Yes"" but now she's having doubts because things are moving to fast for someone. Does that sound at all possible to you?"
26777,Yes. Yes! Fine! I am someone! You want me to say it? I have doubts!  I'm sorry!
26778,Phoebe
26779,Yeah?
26780,"Phoebe, it's okay that you feel this way. I mean it is soon. And there's a lot of things we don't know about each other, and I just figure that everything I really like. And the things I don't know, I get to learn about at someplace with both our names on the mailbox."
26781,That's so sweet.
26782,"Sweethart, but none of that matters if it's too soon for you. It's fine! We don't have to move in together. I justI want you to be happy"
26783,Living with you would make me happy.
26784,"Phoebe, you don't have to say that."
26785,"No, I really wanna live with you! I wanna move in with you!"
26786,Are you sure?
26787,Yes. Definitely! Yes! Let's live in an apartment that we both live in!
26788,Oh that's great!
26789,"Oh wait, one sec. One sec.  Hey you! Behind the glass! Who are you looking at! I've always wanted to say that when I was in one of these rooms,  which was never!"
26790,"The street outside Central Perk, Rachel is trying to sell the cat.]"
26791,Show cat! Quality show cat! Show cat!
26792,Oh my God! What's wrong with your baby?!
26793,It's not a baby! It's a cat!
26794,Eew! It's creepy looking!
26795,"Oh no! No! It's actuallyit's very sweet. It's very sweet. Look!  Yeah, do you want it?"
26796,"No, I hate cats."
26797,"Well, so then what are you doing to me? Okay? Just get out of here! All right? Move on!"
26798,Wow! What an unusual cat!
26799,Yes! Thank you! Exactly! You want it?
26800,"Maybe. I was thinking about getting a cat, I was just going to go to the shelter  but Okay, why not?"
26801,"Oh, terrific! That'll be $2,000."
26802,What?!
26803,"Okay, a thousand."
26804,I thought you wanted to adopt your cat.
26805,"Well, I do, but you're just gonna have to actually look at this as more of an investment than a cat."
26806,"Okay, yeah, I just wanted a cat."
26807,"Obviously you know how to haggle, so I'm not gonna try and take you on. Okay? So $800 and I don't call the cops because you're robbing me blind! Blind!  Just take cat, leave the money, and run away! Run away!  Damnit!  Cat, can't you at least smile or something?!  Okay, did anybody just hear that? Anybody?"
26808,"Chandler and Joey's, Joey, Ross, Monica, and now Chandler are still playing catch. The guys are exhausted and sitting around the room. Monica is still standing all pumped up and being hyper-competitive yet again. {Okay! We get it! She's competitive!! Must we see all the time?!}]"
26809,I'm starving!
26810,Come on guys! Suck it up! We're closing in on ten hours! It's gut-check time!
26811,I don't know who made you the boss? All right? We  invented this game!
26812,Please! I made this game what it is.
26813,Not fun anymore?
26814,I'm still hungry!
26815,"All right, there's some pizza at my place, we can all eat with one hand right? Are you with me?"
26816,I am!
26817,"All right! Let's go!  Let's go Team Monica!  All right, we can work out the name later."
26818,Rachel! What is your cat doing in one of my bowls!
26819,"It's not! I'm defrosting a chicken.  Oh, I uh sold Mrs. Whiskerson."
26820,"Oh, thank God!"
26821,Did you get your money back?
26822,"Yeah, 15 hundred dollars."
26823,Wow! You made a profit!
26824,I just came for the red-velvet pillow.
26825,"Oh yeah, there you go."
26826,Thanks Rachel. And-and don't forget you-you can come visit her anytime you want.
26827,"Oh good, great! I'll-I'll keep that in mind."
26828,Hey! So what is this? Some kind of snake or something?
26829,"Gary and Phoebe's apartment, it's morning and they're both waking up in bed.]"
26830,I really like waking up with you.
26831,"I like waking up with you too.  Oh! It's such a beautiful morning.  Oh, I can stay here all day."
26832,That would be great!
26833,We could have breakfast in bed
26834,"Wait, just a second."
26835,Okay.  Oh! Oh no.
26836,"Monica and Rachel's, Hyper-competitive Monica, Rachel, Chandler, Joey, and Ross are still playing catch. Monica is finally tiring while the rest of them are totally exhausted and virtually asleep.]"
26837,"All right! Come on Monica! Look alive! Come on, look alive!"
26838,"Oh good, you're all up."
26839,Phoebe! It's 6 o'clock in the morning! Why aren't you at Gary's?
26840,"Oh yeah, that's over."
26841,What?!
26842,"Come on! Gary's such a great guy! Whatever the problem is, you can work it out!"
26843,He shot a bird!
26844,Oh that is over!
26845,That's terrible! I'm sorry!
26846,"Phoebe, are you okay?"
26847,"Yeah. Yeah, I'll be alright."
26848,"Oh hey, here Pheebs."
26849,"Nah, I don't feel like playing."
26850,"It's okay. It's okay. Just pretend that it didn't happen! Okay? No one needs to know! I mean, Phoebe's not an official ballplayer! I mean, only official ballplayers can drop the ball!"
26851,All right. Okay. I'm starving!
26852,"Phoebe, honey, wanna get some breakfast?"
26853,Yeah!
26854,"Okay! Okay, let's race! First one there wins! Ha-ha!"
26855,You guys wanna eat here?
26856,Yeah! As long as we're here!
26857,"Central Perk, everyone is there.]"
26858,Man that was great! Huh? Can you believe how long we threw that ball around?
26859,"Yeah, it is amazing it lasted that long."
26860,I know. My arm is killing me.
26861,"No, I meant with the dropper over here."
26862,"Y'know, how did I get this reputation as a dropper? Okay? I'm anything but a dropper."
26863,Wil Calhoun Story by: Shana Goldberg-Meehan Transcribed by: Eric Aasen
26864,"Central Perk, everyone but Phoebe are there reading. Rachel is sitting on the couch flanked by Ross and Monica. She suddenly stops reading and starts blinking her left eye as if it's bothering her. The problem is that Joey is on her left and thinks she's winking at him and winks back. Ross is watching this and isn't quite sure of what to make of it.]"
26865,What's going on?
26866,"Well, my eye is a little itchy."
