,Character,Dialog
960,Steve Rogers,Right. Different rules for us.
961,Tony Stark,"Nice guy, but artificial."
962,Steve Rogers,Thank you.
963,Thor,"If he can wield the hammer, he can keep the Mind Stone. It's safe with the Vision and these days, safe is in short supply."
964,Steve Rogers,But if you put the hammer in an elevator...
965,Tony Stark,It would still go up.
966,Steve Rogers,Elevator's not worthy.
967,Thor,I'm going to miss these little talks of ours.
968,Tony Stark,"Well, not if you don't leave."
969,Thor,I have no choice. The Mind Stone is the fourth of the Infinity Stones to show up in the last few years. That's not a coincidence. Someone has been playing an intricate game and has made pawns of us. But once all these pieces are in position...
970,Tony Stark,Triple Yahtzee?
971,Steve Rogers,You think you can find out what's coming?
972,Thor,"I do. Besides this one, there's nothing that can't be explained."
973,Tony Stark,That man has no regard for lawn maintenance. I'm gonna miss him though. And you're gonna miss me. There's gonna be a lot of manful tears.
974,Steve Rogers,"I will miss you, Tony."
975,Tony Stark,"Yeah? Well, it's time for me to tap out. Maybe I should take a page out of Barton's book and build Pepper a farm, hope nobody blows it up."
976,Steve Rogers,The simple life.
977,Tony Stark,You'll get there one day.
978,Steve Rogers,"I don't know, family, stability. The guy who wanted all that went in the ice seventy-five years ago. I think someone else came out."
979,Tony Stark,You alright?
980,Steve Rogers,"I'm home.  You want to keep staring at the wall, or do you want to go to work? I mean, it's a pretty interesting wall."
981,Natasha Romanoff,I thought you and Tony were still gazing into each other's eyes. How do we look?
982,Steve Rogers,"Well, we're not the '27 Yankees."
983,Natasha Romanoff,We've got some hitters.
984,Steve Rogers,They're good. They're not a team.
985,Natasha Romanoff,Let's beat 'em into shape.
986,Steve Rogers,Avengers...!
